text,label
Congratulations! You've won a $1000 Walmart gift card. Click here to claim now!,phishing
Your account has been suspended. Verify your information immediately.,phishing
"Hi John, can we reschedule our meeting for tomorrow afternoon?",legitimate
Reminder: Your Amazon order #12345 has been shipped.,legitimate
Update your bank details to avoid account deactivation.,phishing
Your PayPal account is limited. Confirm your identity here.,phishing
"Hey, just checking in about the project report you sent last week.",legitimate
Exclusive offer! Get 70% off on all electronics. Limited time only!,phishing
Team lunch at 1 PM today in the cafeteria.,legitimate
Urgent: Your Netflix subscription has expired. Click here to renew.,phishing
Can you review the attached document and send feedback?,legitimate
Security Alert: Unusual login detected on your account.,phishing
Your meeting with the HR team is confirmed for 3 PM tomorrow.,legitimate
Please find the attached invoice for your recent purchase.,legitimate
Your Apple ID has been locked. Reset your password now.,phishing
